title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
UpdraftPlus WordPress Backup Plugin,updraftplus,27.36,14.51,2000000,0,0,8.05,3142,4.8,4.8
Coming Soon Page &amp; Maintenance Mode by SeedProd,coming-soon,26.95,13.71,900000,0,0,8.24,3791,5.0,5.0
iThemes Security (formerly Better WP Security),better-wp-security,26.66,13.71,900000,0,0,8.25,3820,4.7,4.7
Custom Feeds for Facebook,custom-facebook-feed,24.05,12.21,200000,0,0,7.04,1143,4.8,4.8
Better Search Replace,better-search-replace,23.85,13.46,700000,0,0,5.79,328,4.6,4.6
"Spam protection, AntiSpam, FireWall by CleanTalk",cleantalk-spam-protect,23.69,11.41,90000,0,0,7.48,1773,4.8,4.8
﻿=== Social Share Icons &amp; Social Share Buttons,ultimate-social-media-plus,23.43,11.0,60000,0,0,7.53,1857,4.9,4.9
WordPress Button Plugin MaxButtons,maxbuttons,23.26,11.51,100000,0,0,6.84,939,4.9,4.9
User Role Editor,user-role-editor,23.16,13.12,500000,0,0,5.44,230,4.6,4.6
Advanced Ads – Ad Manager &amp; AdSense,advanced-ads,23.06,11.51,100000,0,0,6.65,769,4.9,4.9
"Contact Forms, Surveys &amp; Quiz Forms Plugin by Formidable Forms Builder for WordPress",formidable,22.93,12.21,200000,0,0,6.12,456,4.6,4.6
Maintenance,maintenance,22.69,12.9,400000,0,0,5.39,219,4.4,4.4
Caldera Forms &#8211; More Than Contact Forms,caldera-forms,22.61,12.21,200000,0,0,5.9,365,4.5,4.5
WP Migrate DB,wp-migrate-db,22.54,12.61,300000,0,0,5.33,206,4.6,4.6
Ultimate Member &#8211; User Profile &amp; Membership Plugin,ultimate-member,22.46,11.51,100000,0,0,6.65,771,4.3,4.3
Meta Box &#8211; WordPress Custom Fields Framework,meta-box,22.42,12.9,400000,0,0,4.62,102,4.9,4.9
WP User Avatar,wp-user-avatar,22.23,12.61,300000,0,0,5.21,184,4.4,4.4
