title,slug,active_installs,relevance,review_count,avg_rating
Video Gallery &#8211; YouTube Gallery,gallery-videos,10000,1,60,4.7
Video Slider &#8211; Slider Carousel,slider-video,7000,1,31,4.7
"GridKit Portfolio Gallery &#8211; Multipurpose portfolio, gallery, video gallery, product catalog, gallery slider",portfolio-wp,10000,1,194,4.4
FV Flowplayer Video Player,fv-wordpress-flowplayer,40000,1,60,4.4
Yoast SEO,wordpress-seo,5000000,0,26738,4.9
Video Embed &amp; Thumbnail Generator,video-embed-thumbnail-generator,30000,1,52,4.8
Smart Slider 3,smart-slider-3,400000,0,677,4.9
"Video Gallery &#8211; YouTube Playlist, Channel Gallery by YotuWP",yotuwp-easy-youtube-embed,10000,1,144,4.9
WP Video Lightbox,wp-video-lightbox,70000,1,58,4.4
WP Video Popup – Responsive YouTube &amp; Vimeo Video Lightbox,responsive-youtube-vimeo-popup,8000,1,18,4.7
"WordPress Photo Gallery &#8211; Multipurpose Portfolio, Image Gallery &amp; Video Gallery",photo-gallery-portfolio,600,1,5,4.2
Jetpack by WordPress.com,jetpack,5000000,0,1409,3.9
Easy Video Player,easy-video-player,40000,1,47,4
BackWPup &#8211; WordPress Backup Plugin,backwpup,600000,0,853,4.4
Photo Gallery by 10Web &#8211; Mobile-Friendly Image Gallery,photo-gallery,300000,0,1226,4.6
All-in-One Video Gallery,all-in-one-video-gallery,6000,1,21,4.8
Video Background,video-background,20000,1,53,4.6
"ARVE Advanced Responsive Video Embedder (YouTube, Vimeo, HTML5 Video &#8230;)",advanced-responsive-video-embedder,60000,1,135,4.3
Shortcodes Ultimate,shortcodes-ultimate,800000,0,4997,4.9
YouTube,youtube-embed-plus,200000,0,410,4.6
Elementor Page Builder,elementor,2000000,0,3656,4.8
SiteOrigin Widgets Bundle,so-widgets-bundle,1000000,0,118,4.9
Vimeotheque &#8211; WordPress Vimeo videos,codeflavors-vimeo-video-post-lite,7000,1,13,4.8
Wonder Video Embed,wonderplugin-video-embed,6000,1,3,5
