title,slug,my_score,weighted,active_installs,weighted,relevance,weighted,review_count,weighted,avg_rating
YouTube,youtube-embed-plus,32.83,12.21,200000,10,1,6.02,410,4.6,4.6
"Feed Them Social &#8211; Facebook, Instagram, Twitter, YouTube &amp; Pinterest",feed-them-social,31.91,11.16,70000,10,1,6.05,422,4.7,4.7
Yoast SEO,wordpress-seo,30.509999999999998,15.42,5000000,0,0,10.19,26738,4.9,4.9
Video Thumbnails,video-thumbnails,30.459999999999997,11.29,80000,10,1,4.47,87,4.7,4.7
"ARVE Advanced Responsive Video Embedder (YouTube, Vimeo, HTML5 Video &#8230;)",advanced-responsive-video-embedder,30.21,11.0,60000,10,1,4.91,135,4.3,4.3
WP Video Lightbox,wp-video-lightbox,29.619999999999997,11.16,70000,10,1,4.06,58,4.4,4.4
Featured Video Plus,featured-video-plus,29.400000000000002,10.31,30000,10,1,4.29,73,4.8,4.8
WP YouTube Lyte,wp-youtube-lyte,29.3,9.9,20000,10,1,4.6,99,4.8,4.8
FV Flowplayer Video Player,fv-wordpress-flowplayer,29.090000000000003,10.6,40000,10,1,4.09,60,4.4,4.4
"Video Gallery &#8211; YouTube Playlist, Channel Gallery by YotuWP",yotuwp-easy-youtube-embed,29.08,9.21,10000,10,1,4.97,144,4.9,4.9
Video Embed &amp; Thumbnail Generator,video-embed-thumbnail-generator,29.060000000000002,10.31,30000,10,1,3.95,52,4.8,4.8
"GridKit Portfolio Gallery &#8211; Multipurpose portfolio, gallery, video gallery, product catalog, gallery slider",portfolio-wp,28.880000000000003,9.21,10000,10,1,5.27,194,4.4,4.4
Video Background,video-background,28.47,9.9,20000,10,1,3.97,53,4.6,4.6
Easy Video Player,easy-video-player,28.450000000000003,10.6,40000,10,1,3.85,47,4.0,4.0
Vimeography: Vimeo Video Gallery WordPress Plugin,vimeography,28.419999999999998,9.21,10000,10,1,4.51,91,4.7,4.7
Video Gallery &#8211; YouTube Gallery,gallery-videos,28.0,9.21,10000,10,1,4.09,60,4.7,4.7
YouTube Gallery &#8211; Best YouTube Video Gallery for WordPress,youtube-showcase,27.990000000000002,8.7,6000,10,1,4.39,81,4.9,4.9
All-in-One WP Migration,all-in-one-wp-migration,27.889999999999997,14.51,2000000,0,0,8.68,5902,4.7,4.7
YourChannel: Everything you want in a YouTube plugin.,yourchannel,27.88,9.21,10000,10,1,3.97,53,4.7,4.7
Fluid Video Embeds,fluid-video-embeds,27.85,9.21,10000,10,1,3.74,42,4.9,4.9
mb.miniAudioPlayer &#8211; an HTML5 audio player for your mp3 files,wp-miniaudioplayer,27.64,9.21,10000,10,1,3.93,51,4.5,4.5
Lazy Load for Videos,lazy-load-for-videos,27.620000000000005,8.99,8000,10,1,4.23,69,4.4,4.4
Youtube Widget Responsive,youtube-widget-responsive,27.57,9.9,20000,10,1,2.77,16,4.9,4.9
Elementor Page Builder,elementor,27.51,14.51,2000000,0,0,8.2,3656,4.8,4.8
GT3 Photo Gallery / Video Gallery / Gutenberg Gallery Block,gt3-photo-video-gallery,27.48,9.1,9000,10,1,3.58,36,4.8,4.8
Spider Video Player,player,27.32,9.21,10000,10,1,3.81,45,4.3,4.3
MediaElement.js &#8211; HTML5 Video &amp; Audio Player,media-element-html5-video-and-audio-player,27.319999999999997,9.9,20000,10,1,3.22,25,4.2,4.2
YouTube Channel,youtube-channel,27.09,9.21,10000,10,1,3.58,36,4.3,4.3
Shortcodes Ultimate,shortcodes-ultimate,27.009999999999998,13.59,800000,0,0,8.52,4997,4.9,4.9
Video Slider &#8211; Slider Carousel,slider-video,26.98,8.85,7000,10,1,3.43,31,4.7,4.7
Coming Soon Page &amp; Maintenance Mode by SeedProd,coming-soon,26.950000000000003,13.71,900000,0,0,8.24,3791,5.0,5.0
"Post video players, slideshow albums, photo galleries and music / podcast playlist",video-playlist-and-gallery-plugin,26.880000000000003,8.99,8000,10,1,3.99,54,3.9,3.9
Automatic Featured Images from Videos,automatic-featured-images-from-videos,26.880000000000003,9.1,9000,10,1,3.18,24,4.6,4.6
iThemes Security (formerly Better WP Security),better-wp-security,26.66,13.71,900000,0,0,8.25,3820,4.7,4.7
YouTube Embed,youtube-embed,26.64,9.9,20000,10,1,2.64,14,4.1,4.1
WP Video Popup – Responsive YouTube &amp; Vimeo Video Lightbox,responsive-youtube-vimeo-popup,26.580000000000002,8.99,8000,10,1,2.89,18,4.7,4.7
Jetpack by WordPress.com,jetpack,26.57,15.42,5000000,0,0,7.25,1409,3.9,3.9
Video PopUp,video-popup,26.550000000000004,9.21,10000,10,1,2.94,19,4.4,4.4
All-in-One Video Gallery,all-in-one-video-gallery,26.54,8.7,6000,10,1,3.04,21,4.8,4.8
Duplicator &#8211; WordPress Migration Plugin,duplicator,26.410000000000004,13.82,1000000,0,0,7.69,2181,4.9,4.9
Html5 Video Player,html5-video-player,26.34,8.01,3000,10,1,3.53,34,4.8,4.8
Videojs HTML5 Player,videojs-html5-player,26.310000000000002,9.21,10000,10,1,2.3,10,4.8,4.8
"WpDevArt YouTube Embed, Playlist and Popup",youtube-video-player,26.27,9.21,10000,10,1,3.56,35,3.5,3.5
Video Gallery by Huzzaz,huzzaz-video-gallery,26.269999999999996,8.01,3000,10,1,3.76,43,4.5,4.5
Custom Feeds for Instagram,instagram-feed,26.25,13.59,800000,0,0,7.76,2348,4.9,4.9
"WP-VR-view &#8211; Add Photo Sphere, 360 video to WordPress",wp-vr-view,26.23,9.21,10000,10,1,3.22,25,3.8,3.8
Vimeotheque &#8211; WordPress Vimeo videos,codeflavors-vimeo-video-post-lite,26.21,8.85,7000,10,1,2.56,13,4.8,4.8
mb.YTPlayer for background videos,wpmbytplayer,26.16,8.7,6000,10,1,3.26,26,4.2,4.2
10Web YouTube &#8211; Youtube Player and Gallery,wd-youtube,26.119999999999997,8.29,4000,10,1,3.33,28,4.5,4.5
Video Backgrounds for SiteOrigin Page Builder,video-backgrounds-for-siteorigin-page-builder,26.11,9.21,10000,10,1,2.4,11,4.5,4.5
Video Sidebar Widgets,video-sidebar-widgets,25.990000000000002,9.21,10000,10,1,2.48,12,4.3,4.3
Photo Video Gallery Master,photo-video-gallery-master,25.990000000000002,8.85,7000,10,1,2.64,14,4.5,4.5
"EmbedPress – Embed Google Docs, Vimeo and Wistia videos, Giphy and Imgur photos, and more",embedpress,25.959999999999997,8.7,6000,10,1,2.56,13,4.7,4.7
Related YouTube Videos,related-youtube-videos,25.88,8.52,5000,10,1,2.56,13,4.8,4.8
Simple YouTube Embed,simple-youtube-embed,25.870000000000005,8.99,8000,10,1,2.48,12,4.4,4.4
"Popup Maker &#8211; Popup Forms, Optins &amp; More",popup-maker,25.57,12.61,300000,0,0,8.06,3156,4.9,4.9
Social Media Share Buttons &amp; Social Sharing Icons,ultimate-social-media-icons,25.549999999999997,12.21,200000,0,0,8.44,4630,4.9,4.9
JW Player for WordPress,jw-player-7-for-wp,25.49,8.29,4000,10,1,3.3,27,3.9,3.9
Automatic Youtube Video Posts Plugin,automatic-youtube-video-posts,25.41,8.01,3000,10,1,4.3,74,3.1,3.1
Video gallery and Player,html5-videogallery-plus-player,25.369999999999997,8.29,4000,10,1,2.48,12,4.6,4.6
WooCommerce HTML5 Video,woocommerce-html5-video,25.340000000000003,7.6,2000,10,1,3.14,23,4.6,4.6
Video User Manuals,video-user-manuals,25.310000000000002,10.31,30000,10,1,0.0,1,5.0,5.0
Responsive Video Light,responsive-video-light,25.31,8.01,3000,10,1,2.3,10,5.0,5.0
The Events Calendar,the-events-calendar,25.28,13.46,700000,0,0,7.42,1667,4.4,4.4
YITH WooCommerce Featured Video,yith-woocommerce-featured-video,25.25,8.85,7000,10,1,3.0,20,3.4,3.4
"Slider Hero with Animation, Video Background &amp; Intro Maker",slider-hero,25.17,7.6,2000,10,1,2.77,16,4.8,4.8
CP Media Player &#8211; Audio Player and Video Player,audio-and-video-player,25.13,8.29,4000,10,1,2.94,19,3.9,3.9
"Broadcast Live Video &#8211; Live Streaming : HTML5, WebRTC, HLS, RTSP, RTMP",videowhisper-live-streaming-integration,25.129999999999995,8.01,3000,10,1,3.22,25,3.9,3.9
Flowplayer HTML5 for WordPress,flowplayer5,25.049999999999997,8.01,3000,10,1,3.04,21,4.0,4.0
MailPoet Newsletters (Previous),wysija-newsletters,24.92,12.21,200000,0,0,7.91,2722,4.8,4.8
Responsive Videos by Angie Makes,wc-responsive-video,24.909999999999997,8.01,3000,10,1,2.4,11,4.5,4.5
Srizon Responsive Youtube Album,srizon-responsive-youtube-album,24.86,7.6,2000,10,1,2.56,13,4.7,4.7
Embed videos and respect privacy,video-embed-privacy,24.82,8.52,5000,10,1,2.3,10,4.0,4.0
Wonder Video Embed,wonderplugin-video-embed,24.8,8.7,6000,10,1,1.1,3,5.0,5.0
Meks Video Importer,meks-video-importer,24.799999999999997,8.01,3000,10,1,1.79,6,5.0,5.0
Responsive Lightbox &amp; Gallery,responsive-lightbox,24.799999999999997,12.61,300000,0,0,7.29,1460,4.9,4.9
Media Slider &#8211; Image Video Carousal Link Slideshow,media-slider,24.740000000000002,6.91,1000,10,1,2.83,17,5.0,5.0
MetaSlider,ml-slider,24.7,13.71,900000,0,0,6.29,538,4.7,4.7
ManageWP Worker,worker,24.62,13.59,800000,0,0,6.23,508,4.8,4.8
Under Construction,under-construction-page,24.6,12.61,300000,0,0,7.09,1197,4.9,4.9
BackWPup &#8211; WordPress Backup Plugin,backwpup,24.450000000000003,13.3,600000,0,0,6.75,853,4.4,4.4
Video Grid,video-grid,24.4,7.6,2000,10,1,2.2,9,4.6,4.6
Simple YouTube Responsive,simple-youtube-responsive,24.39,7.6,2000,10,1,1.79,6,5.0,5.0
Smart Slider 3,smart-slider-3,24.32,12.9,400000,0,0,6.52,677,4.9,4.9
Photo Gallery by 10Web &#8211; Mobile-Friendly Image Gallery,photo-gallery,24.32,12.61,300000,0,0,7.11,1226,4.6,4.6
Flowplayer Video Player,flowplayer6-video-player,24.22,8.01,3000,10,1,1.61,5,4.6,4.6
"Video Gallery &#8211; YouTube and Vimeo, Link Gallery",new-video-gallery,24.21,6.91,1000,10,1,2.3,10,5.0,5.0
Responsive videos &#8211; Fitvids,responsive-videos-fitvids,24.21,6.91,1000,10,1,2.3,10,5.0,5.0
"Photo Video Link Gallery &#8211; Images Gallery, YouTube Video Gallery, Light-box Gallery",photo-video-link-gallery,24.12,6.91,1000,10,1,2.71,15,4.5,4.5
Custom Facebook Feed,custom-facebook-feed,24.05,12.21,200000,0,0,7.04,1143,4.8,4.8
File Manager,wp-file-manager,24.0,12.9,400000,0,0,6.3,544,4.8,4.8
Image and video gallery from Google Drive,skaut-google-drive-gallery,23.97,6.91,1000,10,1,2.56,13,4.5,4.5
Gallery Photo Video,gallery-photo-video,23.97,6.4,600,10,1,2.77,16,4.8,4.8
HDW Player Plugin (Video Player &amp; Video Gallery),hdw-player-video-player-video-gallery,23.9,7.6,2000,10,1,2.4,11,3.9,3.9
YouTube Playlist Player,youtube-playlist-player,23.89,6.91,1000,10,1,2.48,12,4.5,4.5
uTubeVideo Gallery,utubevideo-gallery,23.71,6.91,1000,10,1,2.2,9,4.6,4.6
Webcam Video Conference,videowhisper-video-conference-integration,23.69,6.55,700,10,1,2.64,14,4.5,4.5
WordPress Page Builder &#8211; Beaver Builder,beaver-builder-lite-version,23.66,13.12,500000,0,0,5.74,310,4.8,4.8
Google Video Sitemap Feed With Multisite Support,google-video-sitemap-feed-with-multisite-support,23.64,8.85,7000,10,1,1.79,6,3.0,3.0
"Easy Lightbox &#8211; Best Image, Gallery and Video Lightbox for WordPress",easy-lightbox-wp,23.55,7.6,2000,10,1,1.95,7,4.0,4.0
