slug,active_installs
contact-form-7,5000000
wordpress-seo,5000000
akismet,5000000
jetpack,5000000
woocommerce,4000000
wordpress-importer,4000000
classic-editor,3000000
wordfence,2000000
duplicate-post,2000000
all-in-one-seo-pack,2000000
tinymce-advanced,2000000
google-sitemap-generator,2000000
really-simple-ssl,2000000
google-analytics-for-wordpress,2000000
wp-super-cache,2000000
elementor,2000000
updraftplus,2000000
all-in-one-wp-migration,2000000
wpforms-lite,1000000
limit-login-attempts,1000000
google-analytics-dashboard-for-wp,1000000
regenerate-thumbnails,1000000
advanced-custom-fields,1000000
mailchimp-for-wp,1000000
siteorigin-panels,1000000
worker,1000000
hello-dolly,1000000
wp-smushit,1000000
duplicator,1000000
w3-total-cache,1000000
redirection,1000000
wp-mail-smtp,1000000
ninja-forms,1000000
so-widgets-bundle,1000000
disable-comments,1000000
wp-multibyte-patch,1000000
cookie-notice,1000000
nextgen-gallery,900000
really-simple-captcha,900000
better-wp-security,900000
wp-fastest-cache,900000
ml-slider,900000
autoptimize,900000
coming-soon,900000
optinmonster,800000
loco-translate,800000
wp-pagenavi,800000
wp-optimize,800000
loginizer,800000
duplicate-page,800000
shortcodes-ultimate,800000
instagram-feed,800000
woocommerce-gateway-paypal-express-checkout,800000
breadcrumb-navxt,800000
black-studio-tinymce-widget,800000
redux-framework,800000
all-in-one-wp-security-and-firewall,700000
tablepress,700000
limit-login-attempts-reloaded,700000
the-events-calendar,700000
ewww-image-optimizer,700000
insert-headers-and-footers,700000
better-search-replace,700000
broken-link-checker,600000
backwpup,600000
yith-woocommerce-wishlist,600000
wp-maintenance-mode,600000
custom-post-type-ui,600000
force-regenerate-thumbnails,600000
one-click-demo-import,600000
woocommerce-services,600000
contact-widgets,600000
user-role-editor,500000
googleanalytics,500000
sg-cachepress,500000
litespeed-cache,500000
post-types-order,500000
add-to-any,500000
beaver-builder-lite-version,500000
wp-statistics,500000
woocommerce-gateway-stripe,500000
sucuri-scanner,500000
wp-google-maps,400000
flamingo,400000
cookie-law-info,400000
polylang,400000
mailchimp-for-woocommerce,400000
maintenance,400000
antispam-bee,400000
woo-gutenberg-products-block,400000
meta-box,400000
smart-slider-3,400000
taxonomy-terms-order,400000
image-widget,400000
wps-hide-login,400000
easy-wp-smtp,300000
easy-google-fonts,300000
photo-gallery,300000
iwp-client,300000
velvet-blues-update-urls,300000
ocean-extra,300000
widget-importer-exporter,300000
amp,300000
enable-media-replace,300000
woosidebars,300000
popup-maker,300000
themeisle-companion,300000
simple-custom-css,300000
simple-301-redirects,300000
bbpress,300000
wp-user-avatar,300000
easy-fancybox,300000
mainwp-child,300000
table-of-contents-plus,300000
wordpress-popular-posts,300000
wp-file-manager,300000
newsletter,300000
under-construction-page,300000
ssl-insecure-content-fixer,300000
wp-migrate-db,300000
widget-logic,300000
responsive-lightbox,300000
admin-menu-editor,300000
megamenu,200000
kirki,200000
formidable,200000
wysija-newsletters,200000
simple-page-ordering,200000
intuitive-custom-post-order,200000
imsanity,200000
wp-db-backup,200000
ps-auto-sitemap,200000
page-links-to,200000
wp-instagram-widget,200000
pirate-forms,200000
backupwordpress,200000
so-css,200000
types,200000
adminimize,200000
child-theme-configurator,200000
custom-sidebars,200000
wp-clone-by-wp-academy,200000
svg-support,200000
contact-form-7-honeypot,200000
cmb2,200000
yith-woocommerce-compare,200000
uk-cookie-consent,200000
ultimate-social-media-icons,200000
quick-pagepost-redirect-plugin,200000
ga-google-analytics,200000
simple-social-icons,200000
google-analyticator,200000
pretty-link,200000
php-code-widget,200000
stops-core-theme-and-plugin-updates,200000
buddypress,200000
custom-facebook-feed,200000
youtube-embed-plus,200000
duracelltomi-google-tag-manager,200000
gotmls,200000
gutenberg,200000
disable-gutenberg,200000
siteguard,200000
anti-spam,200000
wp-postviews,200000
wp-sitemap-page,200000
wptouch,200000
google-captcha,200000
simple-lightbox,200000
ad-inserter,200000
addquicktag,200000
cloudflare,200000
pdf-embedder,200000
simple-custom-post-order,200000
pubsubhubbub,200000
all-404-redirect-to-homepage,200000
caldera-forms,200000
disqus-comment-system,200000
recent-posts-widget-extended,200000
cyr3lat,200000
login-lockdown,200000
genesis-simple-edits,200000
tiny-compress-images,200000
unyson,100000
header-footer,100000
imagify,100000
godaddy-email-marketing-sign-up-forms,100000
password-protected,100000
contact-form-cfdb7,100000
search-and-replace,100000
recent-tweets-widget,100000
custom-css-js,100000
addthis,100000
search-regex,100000
use-any-font,100000
wp-retina-2x,100000
members,100000
nextend-facebook-connect,100000
tawkto-live-chat,100000
rustolat,100000
recent-posts-widget-with-thumbnails,100000
menu-icons,100000
woocommerce-pdf-invoices-packing-slips,100000
all-in-one-favicon,100000
foogallery,100000
wp-slimstat,100000
social-networks-auto-poster-facebook-twitter-g,100000
sydney-toolbox,100000
wp-edit,100000
post-duplicator,100000
simple-share-buttons-adder,100000
favicon-by-realfavicongenerator,100000
better-font-awesome,100000
q2w3-fixed-widget,100000
easy-theme-and-plugin-upgrades,100000
email-subscribers,100000
call-now-button,100000
accelerated-mobile-pages,100000
qtranslate-x,100000
a3-lazy-load,100000
master-slider,100000
theme-my-login,100000
column-shortcodes,100000
title-remover,100000
contact-form-plugin,100000
enhanced-media-library,100000
rename-wp-login,100000
envira-gallery-lite,100000
essential-addons-for-elementor-lite,100000
wp-dbmanager,100000
shortpixel-image-optimiser,100000
exclude-pages,100000
eu-cookie-law,100000
facebook-pagelike-widget,100000
foobox-image-lightbox,100000
contact-form-7-datepicker,100000
all-in-one-event-calendar,100000
gtranslate,100000
cornerstone,100000
count-per-day,100000
seo-ultimate,100000
404-to-301,100000
custom-permalinks,100000
wp-gdpr-compliance,100000
official-statcounter-plugin-for-wordpress,100000
code-snippets,100000
auto-post-thumbnail,100000
wp-jalali,100000
auto-terms-of-service-and-privacy-policy,100000
official-facebook-pixel,100000
seo-image,100000
no-category-base-wpml,100000
social-media-widget,100000
maxbuttons,100000
iframe,100000
events-manager,100000
email-address-encoder,100000
easy-facebook-likebox,100000
relevanssi,100000
quick-adsense,100000
list-category-posts,100000
wordpress-ping-optimizer,100000
wp-add-custom-css,100000
white-label-cms,100000
ultimate-member,100000
google-language-translator,100000
woo-checkout-field-editor-pro,100000
popup-builder,100000
content-views-query-and-display-post-page,100000
themegrill-demo-importer,100000
https-redirection,100000
customizer-export-import,100000
wp-job-manager,100000
wp-polls,100000
api-key-for-google-maps,100000
sumome,100000
responsive-menu,100000
mce-table-buttons,100000
cloudflare-flexible-ssl,100000
custom-post-type-permalinks,100000
underconstruction,100000
mailchimp,100000
wp-reset,100000
display-posts-shortcode,100000
glue-for-yoast-seo-amp,100000
widget-css-classes,100000
contact-form-7-mailchimp-extension,100000
rvg-optimize-database,100000
acf-content-analysis-for-yoast-seo,100000
wp-google-fonts,100000
wordpress-23-related-posts-plugin,100000
download-manager,100000
user-switching,100000
genesis-enews-extended,100000
edit-author-slug,100000
nav-menu-roles,100000
facebook-for-woocommerce,100000
portfolio-post-type,100000
wp-cerber,100000
statify,100000
wp-editor,100000
pixelyoursite,100000
aryo-activity-log,100000
wp-all-import,100000
download-monitor,100000
yikes-inc-easy-mailchimp-extender,100000
instagram-slider-widget,100000
wp-content-copy-protector,100000
simple-tags,100000
add-from-server,100000
xml-sitemap-feed,100000
tracking-code-manager,100000
simple-image-sizes,100000
fancybox-for-wordpress,100000
wp-google-map-plugin,100000
sendgrid-email-delivery-simplified,100000
page-scroll-to-id,100000
wp-social-bookmarking-light,100000
wordpress-https,100000
post-type-switcher,100000
disable-xml-rpc,100000
astra-sites,100000
codepress-admin-columns,100000
block-bad-queries,100000
php-compatibility-checker,100000
form-maker,100000
onesignal-free-web-push-notifications,100000
contact-form-7-dynamic-text-extension,100000
hide-title,100000
yith-woocommerce-ajax-navigation,100000
wpcf7-redirect,100000
remove-query-strings-from-static-resources,100000
woocommerce-multilingual,100000
p3-profiler,100000
header-footer-elementor,100000
blogger-importer,100000
google-maps-widget,100000
codelights-shortcodes-and-widgets,100000
mw-wp-form,100000
premium-addons-for-elementor,100000
header-and-footer-scripts,100000
wp-postratings,100000
advanced-access-manager,100000
oauth-twitter-feed-for-developers,100000
advanced-excerpt,100000
insert-php,100000
mailpoet,100000
wp-lightbox-2,100000
revision-control,100000
disable-google-fonts,100000
post-smtp,100000
visual-form-builder,100000
yith-woocommerce-quick-view,100000
health-check,100000
slideshow-jquery-image-gallery,100000
advanced-ads,90000
heartbeat-control,90000
post-views-counter,90000
wp-crontrol,90000
mesmerize-companion,90000
all-in-one-schemaorg-rich-snippets,90000
yith-woocommerce-ajax-search,90000
peters-login-redirect,90000
mappress-google-maps-for-wordpress,90000
category-posts,90000
virtue-toolkit,90000
social-media-feather,90000
yith-woocommerce-zoom-magnifier,90000
wpfront-scroll-top,90000
bj-lazy-load,90000
quick-adsense-reloaded,90000
theme-check,90000
404page,90000
google-calendar-events,90000
simple-history,90000
amr-shortcode-any-widget,90000
kingcomposer,90000
woocommerce-google-analytics-integration,90000
wp-rollback,90000
ajax-thumbnail-rebuild,90000
video-thumbnails,90000
dynamic-featured-image,90000
cms-tree-page-view,90000
wd-instagram-feed,90000
automatic-updater,90000
cf7-conditional-fields,90000
autodescription,80000
post-expirator,80000
wonderm00ns-simple-facebook-open-graph-tags,80000
click-to-chat-for-whatsapp,80000
cleantalk-spam-protect,80000
wp-simple-firewall,80000
cryout-theme-settings,80000
shareaholic,80000
wp-security-audit-log,80000
login-customizer,80000
widget-shortcode,80000
zopim-live-chat,80000
categories-images,80000
kk-star-ratings,80000
ithemes-sync,80000
real-time-find-and-replace,80000
soliloquy-lite,80000
custom-field-template,80000
cyr2lat,80000
menu-image,80000
vaultpress,80000
invisible-recaptcha,80000
disable-xml-rpc-pingback,80000
asesor-cookies-para-la-ley-en-espana,80000
lazy-load,80000
wpcat2tag-importer,80000
search-everything,80000
social-icons-widget-by-wpzoom,80000
disable-emojis,80000
really-simple-csv-importer,80000
reveal-ids-for-wp-admin-25,80000
woocommerce-square,80000
pushpress,80000
spacer,80000
simple-css,80000
google-document-embedder,80000
wp-members,80000
wp-jquery-lightbox,80000
paid-memberships-pro,80000
widget-options,80000
wordpress-popup,80000
genesis-simple-hooks,80000
easy-twitter-feed-widget,80000
strong-testimonials,80000
wordpress-social-login,80000
sassy-social-share,80000
wp-sweep,70000
sticky-menu-or-anything-on-scroll,70000
jquery-collapse-o-matic,70000
options-framework,70000
wordpress-database-reset,70000
one-click-child-theme,70000
wp-video-lightbox,70000
simple-sitemap,70000
safe-svg,70000
backup,70000
capability-manager-enhanced,70000
everest-forms,70000
wp-review,70000
bulletproof-security,70000
website-monetization-by-magenet,70000
google-sitemap-plugin,70000
minimal-coming-soon-maintenance-mode,70000
simple-local-avatars,70000
wp-tab-widget,70000
snazzy-maps,70000
mailgun,70000
easy-columns,70000
