slug,active_installs,review_count,avg_rating
gallery-videos,10000,60,4.7
slider-video,7000,31,4.7
portfolio-wp,10000,194,4.4
fv-wordpress-flowplayer,40000,60,4.4
wordpress-seo,5000000,26738,4.9
video-embed-thumbnail-generator,30000,52,4.8
smart-slider-3,400000,677,4.9
yotuwp-easy-youtube-embed,10000,144,4.9
wp-video-lightbox,70000,58,4.4
responsive-youtube-vimeo-popup,8000,18,4.7
photo-gallery-portfolio,600,5,4.2
jetpack,5000000,1409,3.9
easy-video-player,40000,47,4
backwpup,600000,853,4.4
photo-gallery,300000,1226,4.6
all-in-one-video-gallery,6000,21,4.8
video-background,20000,53,4.6
advanced-responsive-video-embedder,60000,135,4.3
shortcodes-ultimate,800000,4997,4.9
youtube-embed-plus,200000,410,4.6
elementor,2000000,3656,4.8
so-widgets-bundle,1000000,118,4.9
codeflavors-vimeo-video-post-lite,7000,13,4.8
wonderplugin-video-embed,6000,3,5
slider-hero,2000,16,4.8
ml-slider,900000,538,4.7
video-user-manuals,30000,1,5
video-sidebar-widgets,10000,12,4.3
gt3-photo-video-gallery,9000,36,4.8
video-popup,10000,19,4.4
robo-gallery,40000,224,4.4
flowplayer6-video-player,3000,5,4.6
wp-photo-album-plus,20000,182,4.6
player,10000,45,4.3
html5-video-player,3000,34,4.8
vimeography,10000,91,4.7
html5-videogallery-plus-player,4000,12,4.6
photo-video-gallery-master,7000,14,4.5
wpmbytplayer,6000,26,4.2
hdw-player-video-player-video-gallery,2000,11,3.9
yith-woocommerce-featured-video,7000,20,3.4
lazy-load-for-videos,8000,69,4.4
youtube-showcase,6000,81,4.9
photonic,10000,108,4.7
new-video-gallery,1000,10,5
video-grid,2000,9,4.6
foogallery,100000,352,4.7
audio-and-video-player,4000,19,3.9
responsive-video-light,3000,10,5
meks-video-importer,3000,6,5
all-in-one-wp-migration,2000000,5902,4.7
seriously-simple-podcasting,20000,184,4.8
envira-gallery-lite,100000,1119,4.8
videographywp,900,5,3.4
huzzaz-video-gallery,3000,43,4.5
related-youtube-videos,5000,13,4.8
duplicator,1000000,2181,4.9
video-playlist-and-gallery-plugin,8000,54,3.9
feed-them-social,70000,422,4.7
woocommerce-html5-video,2000,23,4.6
accelerated-mobile-pages,100000,842,4.5
embedpress,6000,13,4.7
slider-wd,60000,249,4.5
video-conferencing-with-zoom-api,1000,11,4
soliloquy-lite,80000,806,4.7
videojs-html5-player,10000,10,4.8
oembed-external-video,700,2,5
wp-rss-aggregator,60000,374,4.4
video-slider-with-thumbnails,500,2,5
easy-support-videos,500,7,5
videowhisper-live-streaming-integration,3000,25,3.9
woocommerce-product-addon,10000,133,4.5
rocket-lazy-load,60000,82,4.2
powerpress,60000,186,4.8
responsive-videos-fitvids,1000,10,5
cmp-coming-soon-maintenance,50000,142,4.9
master-slider,100000,216,4.3
video-share-vod,700,9,3.9
photo-video-link-gallery,1000,15,4.5
featured-videos-for-genesis,600,3,5
easy-lightbox-wp,2000,7,4
cm-video-lesson-manager,200,4,4
instagram-feed,800000,2348,4.9
mailpoet,100000,534,4.5
wp-responsive-video-gallery-with-lightbox,1000,3,3.7
paid-memberships-pro,80000,323,4.2
gallery-images-ape,6000,93,4.3
media-slider,1000,17,5
wp-youtube-lyte,20000,99,4.8
ductile-responsive-video,400,6,4.8
wp-video-gallery-free,1000,13,3.6
super-video-player,300,10,5
brightcove-video-connect,1000,5,3.4
video-dashboard,800,3,5
embed-video-thumbnail,800,9,3.9
beaver-builder-lite-version,500000,310,4.8
switch-video-quality,300,7,5
addons-for-elementor,60000,75,4.8
coming-soon,900000,3791,5
h5p,10000,34,5
skaut-google-drive-gallery,1000,13,4.5
videowhisper-video-presentation,200,10,4.5
wp-seopress,60000,392,4.9
stackable-ultimate-gutenberg-blocks,10000,151,4.9
lightbox-popup,3000,9,3.2
brid-video-easy-publish,300,5,4.2
porn-videos-embed,400,3,3.7
popup-maker,300000,3156,4.9
advanced-classifieds-and-directory-pro,4000,66,4.7
postie,20000,105,4.7
insert-pages,30000,49,4.8
wp-all-import,100000,1249,4.7
wd-instagram-feed,80000,293,4.8
ultimate-product-catalogue,10000,142,4.6
wpsso,10000,206,4.6
the-events-calendar,700000,1667,4.4
gdpr-cookie-compliance,70000,67,4.4
youtube-video-player,10000,35,3.5
videowhisper-video-conference-integration,700,14,4.5
bulletproof-security,70000,485,4.8
tc-video-chat,70,0,0
slide-anything,70000,90,4.6
embed-clappr,400,3,3.3
kadence-woocommerce-email-designer,10000,41,4.8
s3bubble-amazon-web-services-oembed-media-streaming-support,400,9,3.3
cybersyn,10000,46,4.1
yourchannel,10000,53,4.7
automatic-youtube-video-posts,3000,74,3.1
pixelyoursite,100000,151,4.5
google-maps-easy,50000,220,4.7
smartideo,5000,5,5
wd-youtube,4000,28,4.5
media-element-html5-video-and-audio-player,20000,25,4.2
carousel-slider,40000,96,4.1
advanced-gutenberg,10000,33,4.5
wd-facebook-feed,40000,172,4.4
poll-wp,5000,48,4.7
smart-forms,10000,174,4.5
wp-instagram-post,5000,30,4.3
360-video,200,2,3
tube-video-widget-using-post-meta,70,3,5
page-scroll-to-id,100000,154,4.9
clipchamp-video-converter-video-uploader-and-webcam-recorder,400,6,3
wp-carousel-free,10000,61,4.2
woo-paypalplus,10000,36,4.1
ele-custom-skin,8000,38,5
utubevideo-gallery,1000,9,4.6
post-grid,60000,91,4.3
grand-media,20000,248,4.5
responsive-lightbox,300000,1460,4.9
youtube-widget-responsive,20000,16,4.9
filebird,10000,21,4.7
portfolio-filter-gallery,10000,160,4.8
woocommerce-hss-extension-for-streaming-video,100,8,4.4
fitvids-for-wordpress,8000,30,4.7
premium-addons-for-elementor,100000,284,4.9
remove-footer-credit,50000,45,4.8
lazy-loading-responsive-images,5000,30,4.6
ari-fancy-lightbox,10000,48,4.8
popup-builder,100000,1164,4.8
slidedeck,5000,12,4
masvideos,80,1,5
woo-variation-gallery,6000,28,4.8
youtube-embed,20000,14,4.1
ultimate-faqs,30000,190,4.5
wp-hapity,100,1,5
insert-video-with-schemaorg-ivws,200,3,5
black-studio-tinymce-widget,700000,189,4.8
foyer,1000,11,5
slider-by-supsystic,10000,107,4.7
photo-video-store,200,3,3
automatic-featured-images-from-videos,9000,24,4.6
featured-image-from-url,40000,124,4.6
wonderplugin-slider-lite,10000,18,4.3
ultimate-social-media-icons,200000,4630,4.9
video-comments-webcam-recorder,80,3,5
