title,stars,url,text
Excellent plugin&#8230;! a great help for anyone,5,https://wordpress.org/support/topic/excellent-plugin-a-great-help-for-anyone/,"

				
				<p>Excellent plugin&#8230;! a great help for anyone</p>

				
			"
Terrible Tech Support,2,https://wordpress.org/support/topic/terrible-tech-support/,"

				
				<p>I have found Elementor useful for my new website. It is a powerful tool.<br />
But beware of Elementor if you need tech support. Their business model is that which makes it impossible to get live contact with tech support. No  phone, no chat, they don&#8217;t even answer their corporate office telephone.  My experience with their tech support for an installation issue made it  obvious that they know practically nothing. I finally gave up and found a  fix using Google. </p>


<ul id=""bbp-topic-revision-log-11363424"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11363424-item-11363429"" class=""bbp-topic-revision-log-item"">
		This topic was modified 6 hours, 14 minutes ago by <a href=""https://wordpress.org/support/users/hflnc/"" title=""View hflnc&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/2589f947f70ddc7b6037076f461c3d47?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/2589f947f70ddc7b6037076f461c3d47?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/hflnc/"" title=""View hflnc&#039;s profile"">hflnc</a>.
	</li>

</ul>


				
			"
Es una herramienta increíble,5,https://wordpress.org/support/topic/es-una-herramienta-increible/,"

				
				<p>Muy buena, no falla. Se ha convertido en indispensable.</p>

				
			"
Amazing,5,https://wordpress.org/support/topic/amazing-2141/,"

				
				<p>Its an amazing plugin</p>

				
			"
Muito bom,5,https://wordpress.org/support/topic/muito-bom-856/,"

				
				<p>Agiliza muito nas criações de páginas. Além de ter várias opções e ser bastante versátil. </p>

				
			"
Awesome &amp; Amazing Plugin!,5,https://wordpress.org/support/topic/awesome-amazing-plugin-2/,"

				
				<p>It is a nice plugin. I like and love it.</p>

				
			"
Best Builder,5,https://wordpress.org/support/topic/best-builder-11/,"

				
				<p>I&#8217;ve used a handful of builders and Elementor and Elementor Pro are by far the best, lightest, and cleanest Pp builder on the market.</p>

				
			"
"Лучший конструктор, который мы заслужили",5,https://wordpress.org/support/topic/%d0%bb%d1%83%d1%87%d1%88%d0%b8%d0%b9-%d0%ba%d0%be%d0%bd%d1%81%d1%82%d1%80%d1%83%d0%ba%d1%82%d0%be%d1%80-%d0%ba%d0%be%d1%82%d0%be%d1%80%d1%8b%d0%b9-%d0%bc%d1%8b-%d0%b7%d0%b0%d1%81%d0%bb%d1%83%d0%b6/,"

				
				<p>Наилучшее решение для WP, которое только может быть. Сайты до среднего уровня делаются с большим удовольствием. Очень надеюсь на развитие плагина, ведь с помощью его интернет становится доступнее.</p>

				
			"
"Great product, but..",4,https://wordpress.org/support/topic/great-product-but-3/,"

				
				<p>Great product, but it forces to receive announcements on dashboard. Users can not control the announcements, or we did not find that.</p>

				
			"
AMAZING,5,https://wordpress.org/support/topic/amazing-2139/,"

				
				<p>AMAZING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!</p>

				
			"
Muy buen constructor,5,https://wordpress.org/support/topic/muy-buen-constructor/,"

				
				<p>Al principio me costó aprender todas las capacidades, pero viendo que hay mucha información en internet sobre este constructor fue demasiado fácil.</p>
<p>Ahora es mi preferido.</p>

				
			"
The easiest to use page builder,5,https://wordpress.org/support/topic/the-easiest-to-use-page-builder/,"

				
				<p>So far I have tried many. I consider Elementor to be by far the easiest to use.</p>

				
			"
Best site editor&#8230;,5,https://wordpress.org/support/topic/best-site-editor/,"

				
				<p>I&#8217;ve been a developer since 1989, have done web development since 1990, worked with web technologies plain HTML, classic ASP, ASP.NET MVC, ASP.NET Web Forms, AngularJS, and Angular.</p>
<p>I started authoring custom WordPress sites recently with Elementor Pro.  WOW.  This is easily the best GUI Designer for websites that I have ever worked with or seen.</p>
<p>Highly recommend Elementor Pro.  </p>
<p>If you&#8217;re going to be creating sites with dynamic data, custom post types, I highly recommend using the plugins Pods, and Anywhere Elementor Pro.  Your life will be so much easier and development will be rapid.</p>

				
			"
Great Tool,5,https://wordpress.org/support/topic/great-tool-1072/,"

				
				<p>Great tool to create and maintain websites.</p>

				
			"
Great plugin,5,https://wordpress.org/support/topic/great-plugin-21319/,"

				
				<p>this is a must have plugin on your WP site.</p>

				
			"
Ganz große Klasse!!!,5,https://wordpress.org/support/topic/ganz-grose-klasse/,"

				
				<p>Echt klasse </p>

				
			"
indespensable,5,https://wordpress.org/support/topic/indespensable-3/,"

				
				<p>This is a great way to develop pages beyond the basics provided by a theme. I&#8217;ve done training with Gutenberg and Blocks, and keep coming back to Elementor because of its flexibility.</p>

				
			"
Najlepszy kreator dla WordPress,5,https://wordpress.org/support/topic/najlepszy-kreator-dla-wordpress/,"

				
				<p>Najlepszy kreator dla WordPress</p>

				
			"
To Much Problems,4,https://wordpress.org/support/topic/to-much-problems/,"

				
				<p>It has compatibility problems it broke my posts page in admin dashboard</p>

				
			"
The best page builder for WordPress,5,https://wordpress.org/support/topic/the-best-page-builder-for-wordpress-3/,"

				
				<p>Elementor is the best page builder for WordPress, packed with many features you will need to build an awesome looking site.</p>

				
			"
very good,5,https://wordpress.org/support/topic/very-good-3789/,"

				
				<p>thanks a lot. It&#8217;s easy, fast, simple&#8230;..</p>

				
			"
Powerfull and easy to use,5,https://wordpress.org/support/topic/powerfull-and-easy-to-use-4/,"

				
				<p>I&#8217;ve been using it for a while in its free version and I&#8217;m amazed at how easy it has made for me to create quite complex webpages. It&#8217;s certainly the best option out there.</p>

				
			"
容易使用,5,https://wordpress.org/support/topic/%e5%ae%b9%e6%98%93%e4%bd%bf%e7%94%a8/,"

				
				<p>像我這樣的非專業者也能輕鬆使用</p>

				
			"
Awesome page builder plugins,5,https://wordpress.org/support/topic/awesome-page-builder-plugins/,"

				
				<p>Great. Awesome page builder plugins.</p>

				
			"
Great,5,https://wordpress.org/support/topic/great-9458/,"

				
				<p>I love it</p>

				
			"
Awesome,5,https://wordpress.org/support/topic/awesome-6539/,"

				
				<p>Great professional results, super easy to use even for amateurs like me 🙂</p>

				
			"
Awesome!,5,https://wordpress.org/support/topic/awesome-6538/,"

				
				<p>It is awesome and easy to use.</p>

				
			"
ottimo,5,https://wordpress.org/support/topic/ottimo-234/,"

				
				<p>creare siti con elementor è facilissimo e davvero bello</p>

				
			"
Excellent Page Builder,5,https://wordpress.org/support/topic/excellent-page-builder-15/,"

				
				<p>I am a beginner in webdesign, which means that i had basic html and css knowledge and am more of a print designer than a developer.<br />
Elementor Pro gives me features that are similar to a layout tool like Adobe Indesign, and the learning curve is great, and with the excellent and regular tutorials and updates it becomes more and more intuitiv for designer to make good websites without hard studies.</p>
<p>Even my it-student friends are in awe of what Elementor is capable of, and i have converted one friend from squarespace to WordPress with Elementor.</p>

				
			"
Complete Customization,5,https://wordpress.org/support/topic/complete-customization-2/,"

				
				<p>If you&#8217;ve been looking for a page builder that truly unlocks to doors of creative possibilities, then your search is over.</p>
<p>Elementor takes your design capabilities to even greater heights. If you&#8217;re a developer and looking to deploy rich, highly customized designs, then this amazing tool needs to be at the very top of your stack of dev tools.</p>
<p>What many said couldn&#8217;t be done, Elementor has proven wrong and surpassed the competition by miles.</p>
<p>Do yourself a favor, make the switch to Elementor and you will be asking yourself &#8220;what took me so long to make the move.&#8221; </p>

				
			"
Best &#8216;building&#8217; plugin out there!,5,https://wordpress.org/support/topic/best-building-plugin-out-there/,"

				
				<p>Luv, Luv,Luv it!</p>

				
			"
Один из лучших плагинов!,5,https://wordpress.org/support/topic/%d0%be%d0%b4%d0%b8%d0%bd-%d0%b8%d0%b7-%d0%bb%d1%83%d1%87%d1%88%d0%b8%d1%85-%d0%bf%d0%bb%d0%b0%d0%b3%d0%b8%d0%bd%d0%be%d0%b2-3/,"

				
				<p>Хотелось бы еще попробовать возможности плагина в Pro версии, чтобы окончательно убедиться, стоит его покупать или нет!<br />
Спасибо разработчикам за их труд, и за отличный продукт!</p>

				
			"
Thank so much,5,https://wordpress.org/support/topic/thank-so-much-2/,"

				
				<p>This is a great help for us. Thank you for creating this.</p>

				
			"
Cannot live without it.,5,https://wordpress.org/support/topic/cannot-live-without-it-4/,"

				
				<p>This is a fantastic plugin, and I couldn&#8217;t achieve the look I am after without it. Looking forward to seeing further developments on this wonderful tool. </p>

				
			"
What would I do without it &#8230; Keep on developing!,5,https://wordpress.org/support/topic/what-would-i-do-without-it-keep-on-developing/,"

				
				<p>I used to make my websites with Dreamwaver, but when the world turned responsive that became so complicated &#8212; so I changed all websites to WordPress, and after a short while discovered first Beaver Bulider, then Elementor. I still wait for the perfect free theme but now Elementor helps me even with that &#8230; can&#8217;t wait to find the time for the respective tutorials.</p>


<ul id=""bbp-topic-revision-log-11342983"" class=""bbp-topic-revision-log"">

	<li id=""bbp-topic-revision-log-11342983-item-11343000"" class=""bbp-topic-revision-log-item"">
		This topic was modified 5 days, 14 hours ago by <a href=""https://wordpress.org/support/users/axeljf/"" title=""View axeljf&#039;s profile""><img alt='' src='https://secure.gravatar.com/avatar/9ef421f771ef8acb2d9dd32dfdf5555b?s=14&#038;d=retro&#038;r=g' srcset='https://secure.gravatar.com/avatar/9ef421f771ef8acb2d9dd32dfdf5555b?s=28&#038;d=retro&#038;r=g 2x' class='avatar avatar-14 photo' height='14' width='14' /></a>&nbsp;<a href=""https://wordpress.org/support/users/axeljf/"" title=""View axeljf&#039;s profile"">axeljf</a>.
	</li>

</ul>


				
			"
Great plugin!,5,https://wordpress.org/support/topic/great-plugin-21270/,"

				
				<p>Makes life easier</p>

				
			"
Good witget,5,https://wordpress.org/support/topic/good-witget/,"

				
				<p>I&#8217;m beginer, it helps me very much.</p>

				
			"
Best for me &#8211; I&#8217;m beginner,5,https://wordpress.org/support/topic/best-for-me-im-beginner/,"

				
				<p>Я начинающий пользователь , но благодаря всего лишь  паре видеоуроков и elementor я уже создал два сайта</p>

				
			"
great plugin,5,https://wordpress.org/support/topic/great-plugin-21262/,"

				
				<p>thanks</p>

				
			"
It&#8217;s Simply The Best,5,https://wordpress.org/support/topic/its-simply-the-best-2/,"

				
				<p>I&#8217;ve used several page builders and Elementor is by far my favourite. Fast, lean and simple with amazing functionality built in.</p>

				
			"
Excelente!,5,https://wordpress.org/support/topic/excelente-1472/,"

				
				<p>Cada dia que se passa Elementor cresce cada vez mais! Parabens!</p>

				
			"
Amazing,5,https://wordpress.org/support/topic/amazing-2128/,"

				
				<p>The best plugin for creating pages!<br />
Thanks to him, I save a lot of time and create really cool things. Big thank the whole team for this wonderful elementor product.</p>

				
			"
Fantastico,5,https://wordpress.org/support/topic/fantastico-143/,"

				
				<p>Cuando aprendes a utilizarlo es muy útil</p>

				
			"
Es una maravilla,5,https://wordpress.org/support/topic/es-una-maravilla-3/,"

				
				<p>Me encanta la facilidad para empezar a crear páginas con resultados espectaculares. Muy bueno!</p>

				
			"
Elementor is not working properly. loading to much time.,1,https://wordpress.org/support/topic/elementor-is-not-working-properly-loading-to-much-time/,"

				
				<p>Elementor is not working properly. it will take to much time to load and not opening edit page. Look in to the issue.</p>

				
			"
a game changer,5,https://wordpress.org/support/topic/a-game-changer-7/,"

				
				<p>a time saver<br />
a design extender</p>

				
			"
"Elementor is the best page builder, I love this builder.",5,https://wordpress.org/support/topic/elementor-is-the-best-page-builder-i-love-this-builder/,"

				
				<p>Elementor is the best page builder, I love this builder.</p>

				
			"
Perfect,5,https://wordpress.org/support/topic/perfect-5934/,"

				
				<p>Best Page Builder, LOVE it!</p>

				
			"
Incredible.,5,https://wordpress.org/support/topic/incredible-143/,"

				
				<p>Elementor is Excellent!</p>

				
			"
